0,1
0.0178572,2
0.0357144,3
0.0535714,4
0.0714286,6
0.0892859,8
0.107143,8
0.125,11
0.142857,12
0.160714,12
0.178572,14
0.196429,16
0.214286,17
0.232143,17
0.25,18
0.267857,18
0.285714,18
0.303572,19
0.321429,21
0.339286,21
0.357143,22
0.375,25
0.392857,25
0.410714,25
0.428571,26
0.446429,28
0.464286,29
0.482143,30
0.5,30
0.517857,33
0.535714,33
0.553572,34
0.571429,34
0.589286,35
0.607143,36
0.625,37
0.642857,38
0.660714,38
0.678572,41
0.696429,44
0.714286,45
0.732143,45
0.75,45
0.767857,46
0.785714,46
0.803571,48
0.821429,48
0.839286,48
0.857143,48
0.875,48
0.892857,49
0.910714,49
0.928572,51
0.946429,53
0.964286,54
0.982143,56
1,56
