0,0
0.001,1.31151e-07
0.002,3.03584e-05
0.003,4.84954e-05
0.004,6.91318e-05
0.005,9.94717e-05
0.006,0.000143061
0.007,0.000227143
0.008,0.000363957
0.009,0.00055584
0.01,0.000865865
0.011,0.00118314
0.012,0.00153446
0.013,0.0018919
0.014,0.0022374
0.015,0.00260942
0.016,0.00298225
0.017,0.00337021
0.018,0.00379101
0.019,0.00421451
0.02,0.00466041
0.021,0.00511492
0.022,0.005585
0.023,0.00607166
0.024,0.00656858
0.025,0.00708471
0.026,0.00760723
0.027,0.00814689
0.028,0.00869836
0.029,0.00925812
0.03,0.00984187
0.031,0.0104383
0.032,0.0110377
0.033,0.0116598
0.034,0.012286
0.035,0.0129288
0.036,0.0135802
0.037,0.0142448
0.038,0.0149192
0.039,0.0155974
0.04,0.0162866
0.041,0.0169917
0.042,0.0177137
0.043,0.0184427
0.044,0.0191823
0.045,0.0199285
0.046,0.020686
0.047,0.0214536
0.048,0.0222244
0.049,0.0230131
0.05,0.0238005
0.051,0.0245983
0.052,0.0254117
0.053,0.0262283
0.054,0.0270651
0.055,0.0279
0.056,0.0287428
0.057,0.029588
0.058,0.0304404
0.059,0.0313106
0.06,0.0321792
0.061,0.0330531
0.062,0.033942
0.063,0.0348345
0.064,0.0357323
0.065,0.0366406
0.066,0.0375553
0.067,0.0384687
0.068,0.039388
0.069,0.0403183
0.07,0.0412488
0.071,0.0421964
0.072,0.0431426
0.073,0.0440922
0.074,0.0450495
0.075,0.0460023
0.076,0.0469741
0.077,0.0479459
0.078,0.048923
0.079,0.0499037
0.08,0.0508866
0.081,0.0518714
0.082,0.0528644
0.083,0.0538613
0.084,0.0548651
0.085,0.0558762
0.086,0.0568908
0.087,0.0579071
0.088,0.0589228
0.089,0.0599465
0.09,0.0609728
0.091,0.0620086
0.092,0.0630476
0.093,0.0640906
0.094,0.065138
0.095,0.0661858
0.096,0.0672432
0.097,0.0683007
0.098,0.0693616
0.099,0.0704279
0.1,0.0714915
0.101,0.0725619
0.102,0.0736265
0.103,0.0747023
0.104,0.0757822
0.105,0.0768649
0.106,0.0779495
0.107,0.0790348
0.108,0.0801281
